,글번호,공개여부,제목,등록일,작성자,처리지사,진행현황,내용,답변자,답변내용
0,184216,공개,일용직 퇴직연금 의무가입 문의,2020-09-14,남**,복지연금국,처리완료,안녕하세요. 다름이 아니라 저희 사업장에 2년 이상 근무하셨던 일용직 직원이 계약종료가 되었는데 퇴직금 정산때문에 궁금한 점이 있어서 문의드립니다.  사업장내 다른 직원들(상용근로자)들은 현재  모두 퇴직연금에 가입되어있는데 세무사무실에서 일용직은 퇴직연금 가입이 의무가 아니라서 예전 방식으로 퇴직금을 지급해도 된다고 하더라구요. 그 말이 맞는지요? 상용근로자도  퇴직금이 300만원 이하인 경우 일시납으로 받을 수 있다고 알고있는데 일용직 근로자는 금액에 상관없이 의무가입이 아닌지 궁금합니다. 근로자분은 당연히 일시지급을 원하실 것 같아 문제가 없다면 그렇게 처리해드리려고 합니다. 답변가다리겠습니다.,복지연금국,안녕하십니까? 고객님   먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.   고객님께서 문의하신 “퇴직연금 일용직 의무 가입”과 관련하여 유선으로 답변해 드렸습니다.   그외 기타 궁금한 사항이 있으시면 우리 공단 관할지사 또는 근로복지공단 퇴직연금 콜센터(☎1661-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.    오늘도 행복한 하루 보내시길 바랍니다.~ 
1,184000,공개,실업급여받고 있으면 2차재난지원금 못...,2020-09-10,이**,콜센터,처리완료,"실업급여받고 있으면 2차재난지원금은 못받나요? 코로나로 회사가 폐업을 해서 실직하고 실업급여받고 있는데... 혼자 딸아이키우고있습니다....한부모가정신처은 월급180원으로 기준치보다 몇만원 더 받는다고 한부모가정도 탈락되고...코로나로 회사가 없어져 실직되었는데 실업급여때문에 재난지원금도 못받고...ㅜㅠ 보통의 소상공인, 자영업자보다 월세사는 제가 더 막막한 현실인데....ㅜㅠ 일을 나가고 싶어도 제가 하는 일쪽은 자리도 나오지않고 이제 실업급여수급이 마지막인데도 직장도 못구하고 마지막 한번을 남겨두고 재난지원금을 못받는 다는게 너무 억울하네요ㅜㅠ 차라리 실직후 직장구하려고 노력하지말고 바로 실업급여신청했다면 지금 실직자로 지원금받을수있었을겁니다ㅜㅠ 저같이 몇만원, 몇일남은 이유로 정말 힘든현실에도 불구하고 지원받지 못하는 사각지대에 놓인 사람들을 헤아려주시기 바랍니다...저같이 억울한사람이 없도록 세심한 분류부탁드립니다ㅜㅠ",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다. 사이버상담실은 일반적인 기준 사항에 대해서 상담 드리는 기관으로서 개ㄹ별 사업장의 구체적인 사실관계 조사 및 관련서류 검토가 필요하며, 이러한 확인 및 검토 업무는 사업장 관할 우리 공단에서 직접 수행함에 따라 사이버상담실은 이에 대한 직접적인 최종 판단까지는 내려드릴 수 없음을 양해해 주시기 바랍니다. 고객님께서 문의주신 내용에 대한 답변 드립니다.  고객님께서 문의하신 2차재난지원금과 관련한 업무는 고용노동부에서 관할하는 업무로 안타깝게도 안내드릴 수 없는 업무임을 양해해 주시기 바랍니다. 2차 재난지원금 대상: 1. 근로자고용유지지원금 및긴급고용안정지원금 2. 청년특별취업지원프로그램 3. 실직자지원(구직급여: 코로나극복일자리) 번거로우시겠지만 고용노동부 대표전화 ☎1350(국번없음) 또는 고용노동부 홈페이지 (http://www.moel.go.kr) [경로: 민원 >민원마당 바로가기 >민원신청 >빠른인터넷상담]을 이용하시어 문의해 주시기 바랍니다.   그외 근로복지공단 업무가 있으시면 근로복지공단콜센터(☎1588-0075)로 전화주시 면 성심 성의껏 답변해 드리겠습니다. 감사합니다.   오늘도 행복한 하루 보내시길 바랍니다.  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다. "
2,183912,공개,65세 이상 근로자 고용보험 피보험 ...,2020-09-09,김**,콜센터,처리완료,"안녕하십니까.  저희 장모님께서 영세 식당에서 2018년 3월부터 2019년 4월, 2019년 4월부터 2020년 8월까지 근무하셨습니다. 현재 연세는 만 65세 이상이십니다(2017년 이후). 식당 근무시 나이가 65세 이상이라는 이유로 사업주가 2019년 4월 부터 고용보험에 가입하지 않았다고 합니다. 최근 비자발적 퇴사를 하시게 되었습니다. 실업급여를 신청하려고 합니다. 급여명세서는 별도로 발급받지 못하셨고 매달 통장에 월급 입금내역은 확인됩니다. 이런경우 1. 근무확인 사실이 확인되면 피보험신청이 가능한지 여부와 2. 65세 이상이시지만 실업급여 신청이 가능한지 여부도 함께 알고 싶습니다. 3. 필요한 서류가 있으면 구체적으로 어떤 서류가 필요한지 문의드립니다. 참고로 영세한 식당에서 근무하시는 분들에 대한 서류쥬준비가 사업자측이나 고용인측 모두 쉽지 않습니다. 연세드셔서 새 직장 구하는 사이 재정적 어려움을 국가의 도움을 통해 조금이나마 해소하시고자 합니다. 깊은 이해와 도움 부탁드립니다. 제가 외국에 있는 상황이라서 메일로 연락을 주시면 감사드리겠습니다 kangwook20@naver.com",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다. 사이버상담실은 일반적인 기준 사항에 대해서 상담 드리는 기관으로서 개ㄹ별 사업장의 구체적인 사실관계 조사 및 관련서류 검토가 필요하며, 이러한 확인 및 검토 업무는 사업장 관할 우리 공단에서 직접 수행함에 따라 사이버상담실은 이에 대한 직접적인 최종 판단까지는 내려드릴 수 없음을 양해해 주시기 바랍니다. 고객님께서 문의주신 내용에 대한 답변 드립니다.   고용보험은 나이 상관없이 의무가입이기 때문에 65세 이상 신규 채용자도 고용보험 피보험자격 취득신고를 해야합니다. 다만 65세 이후 입사한 경우에는 &apos;실업급여&apos;는 적용하지 않고, &apos;고용안정·직업능력개발사업&apos;에만 적용이 되므로 근로자와 사업주가 반씩 부담하는 실업급여 보험료는 부과되지 않고, 사업주만 부담하는 고용안정·직업능력개발 보험료만 부과가 됩니다. [보험료부과기준] ■ 산재보험 : 연령상관 없이 보험료 부과 ■ 고용보험 1) 실업급여 : 만65세 이후에 취득이 되면 보험료 부과하지 않음 2) 고용안정, 직능 : 65세이상 근로자에 대해서도 모두 징수 (연령에 관계없이 모두 징수함-사업주부담) 다만 19.1.15 법이 개정되어 &apos;65세 전부터 피보험 자격을 유지하던 사람이 65세 이후에도 계속하여 고용된 경우&apos; 즉, &apos;단 하루도 근로단절이 없이 퇴사 후 새로운 직장을 바로 들어가서 계속 근무를 유지하게 된 경우&apos;에는 고용보험 실업급여 적용대상이 되므로 근로자에게도 실업급여 부분을 공제를 해주셔야 하겠습니다. ※ 개정된 내용중 &apos;원칙적으로 하루라도 근로단절이 없어야 한다&apos;는 의미는 동일 사업장에서 고용을 유지해야 한다는 의미는 아니며, 전직할 경우 토요일, 일요일(법정 공휴일), 법정 휴일을 제외하고 하루라도 단절이 없어야 함을 의미 만 65세(2019년 기준 1954년생) 이후 고용된 자는 고용보험 가입은 의무이지만 사업주만 부담하는 고용안정직업능력 보험료만 적용이 되고 근로자와 사업주가 반씩 부담하는 실업급여 적용을 받지 못하므로 만 65세 이후 고용되는 근로자에게는 고용보험을 공제하지 않으시면 됩니다.  고용보험법 제10조(적용근로자)제2호에 따르면 *65세 이후에 고용(65세 전부터 피보험 자격을 유지하던 사람이 65세 이후에 계속하여 고용된 경우는 제외한다)되거나 자영업을 개시한 사람에게는 제4장 및 제5장을 적용하지 아니한다.*고 정하고 있습니다.  고객님의 경우 식당에 입사할 당시 만65세가 넘어서 들어갔다면 고용보험에 가입대상은 맞으나 실업급여 항목에는 해당하지 않으며 고용안정사업에만 해당하여 사업주만 보험료를 납부하는 것에 해당하게 됩니다.이런경우는 근로자가 나중에 퇴사를 하여도 실업급여를 지급받지 못하게 됩니다.  기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다."
3,183872,공개,법인전환신 퇴직연금,2020-09-09,김**,복지연금국,처리완료,안녕하세요  개인사업자에 가입되어 있는 근로자입니다   개인사업자에서 이번달에 법인 전환으로 한다고 합니다  포괄양수도로 진행될예정입니다   이에 개인사업자에서 가입한 퇴직연금을 이어서 법인사업자로 가입하려고 하는데요  어떻게 해야 하나요??  가입기간이있어서 이어서 가입하려고 합니다,복지연금국,안녕하십니까? 고객님   먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.   고객님께서 문의하신 “퇴직연금 법인 전환”과 관련하여 유선으로 답변해 드렸습니다.   그외 기타 궁금한 사항이 있으시면 우리 공단 관할지사 또는 근로복지공단 퇴직연금 콜센터(☎1661-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.    오늘도 행복한 하루 보내시길 바랍니다.~   
4,183838,공개,퇴직연금 추가가입 문의,2020-09-08,이**,복지연금국,처리완료,안녕하세요.  사업장에 추가가입 인원이 있습니다.  추가인원 신청시 필요한 서류와 방법을 알려주시면 감사하겠습니다.  참고로 3개월 수습기간 후 정직원이 되었고 두 기간의 월 기준급여가 다릅니다. 이 부분에 대한 신청방법도 함께 부탁드립니다.  감사합니다.,복지연금국,"안녕하십니까? 고객님   먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.   고객님께서 문의하신 “퇴직연금 추가 가입”과 관련하여 유선으로 답변해 드렸습니다.   그외 기타 궁금한 사항이 있으시면 우리 공단 관할 성남지사(☎031-720-1683, 031-720-1685) 또는 근로복지공단 퇴직연금 콜센터(☎1661-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.    오늘도 행복한 하루 보내시길 바랍니다.~   "
5,183790,공개,퇴사시 DC형 운용하던 펀드가 자동 ...,2020-09-08,임**,복지연금국,처리완료,"DC형에 가입되어 있어 제가 직접 펀드상품에 가입하여 운용하고 있습니다.   약 한 달 뒤 퇴사를 앞두고 있는데 현재 운용상품이 자동으로 승계되어 IRP 계좌로 넘어가는지   아니면, 개별 상품이 모두 해지되어 IRP 계좌로 현금이 넘어온 상태에서 다시 개별 상품을 가입하고 운용해야하는 건지 확인하고 싶습니다.",복지연금국,안녕하십니까? 고객님   먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.   고객님께서 문의하신 “퇴직연금 운용상품 자동 해지”와 관련하여 유선으로 답변해 드렸습니다.   그외 기타 궁금한 사항이 있으시면 우리 공단 퇴직연금 콜센터(☎1661-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.    오늘도 행복한 하루 보내시길 바랍니다.         
6,183371,공개,소액생계비 문의,2020-08-31,이**,콜센터,처리완료,이번에 완화된 소액생계비 대부건에서 아래와 같이    ㅇ월평균소득이 3인 가구 중위소득  이하인 노동자(‘20년 388만원)  * 비정규직/특수형태고용종사자 소득요건 미적용 비정규직의 경우 소득이 30% 감소한 금액이 400만원 인데 해당 되는지요?,콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다. 인터넷상담은 직접 민원업무 처리를 하지 않으므로 업무에 대한 판단을 내려드릴 수 없으며 일반적인 단순문의에만 답변 가능한 점 양해부탁드립니다. 소액생계비 융자는 개인 사정으로 인한 휴직, 계절 사업 등 소속된 사업장의 사업구조상의 이유로 소득이 감소함에 따라 생활유지에 드는 비용으로 융자대상 월 소득이 직전 달의 월 소득에 비하여 30%이상 감소한 경우에 신청 가능합니다. 고객님이 해당 요건에 해당하시는지에 대한 여부는 인터넷상담에서 판단해 드릴 수 없는 점에 대해 양해부탁드리며, 개별적인 사안에 대한 보다 자세한 상담은 실제 업무를 수행하고 있는 관할지사 경영복지부(복지사업부) 담당자에게 문의하시길 안내드립니다.- [근로복지공단 지사 찾기]근로복지공단홈페이지 → 조직안내 → 지역본부 및 지사 기타 공단의 업무와 관련된 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다. "
7,183283,공개,[2017.02 ~ 2018.04] ...,2020-08-27,강**,복지연금국,처리완료,"안녕하세요? 약 2년 전, 켈리서비스코리아 (정규직) 근무했던, 강수지 과장입니다.  퇴사 당시 지급 받았던 DC/DB형 (퇴직 연금) 및 인센티브 (2018.01: 1팀 전체 성과급 / 2018.09 ~ 작년 말경: 서울시일자리까페 - 메인 / 전문 강사로  프리랜서 근무) 총 3가지 안건에 대해 서울시 일자리정책과와 당시 급여 통장이었던 신한은행 (강수지: 110-469-691120 / 서울광화문파이낸스센터 [SFC] 1F) 및 DC/DB형 퇴직연금 계좌 교보생명 (강수지: 계좌명이 정확히 기억나지 않음 / 현재 파기 상태)에 대한 금액 총액이 정확하게 추산되어 합산 청구 되었는지 확인하고 싶습니다.   * 켈리서비스 (홈페이지): https://www.kellyservices.kr/contact-us/ * 강수지 (개인사업자 운영중): suji.gang@lectureplus.co   관련하여, 서울시 (공공기관 전체) 강의 평가 및 피드백 자료를 받고자 할 때는 어떻게 행정/적법 처리 방식을 거쳐야 할까요? 검토 부탁 드립니다.  감사합니다. 강수지 드림 (010-8999-1307)",복지연금국,"안녕하세요! 고객님!근로복지공단 홈페이지를 이용해 주셔서 감사합니다.고객님께 유선으로 안내해드렸으며, 근로복지공단은 근로복지공단에 가입한 퇴직연금 사업장에 한해 안내가 가능합니다.고객님께서 퇴직연금 지급처리가 잘 되었는지는 해당 사업장 또는 사업장의 퇴직연금사업자에게 문의하시기 바랍니다. 또한 기타 관련 문의사항에 대해서는 관계기관에 문의하시기 바랍니다.오늘도 좋은하루 되세요. 감사합니다."
8,183250,공개,퇴직연금 운용방식 선택 주체자,2020-08-26,박**,복지연금국,처리완료,"제가 근무하고 있는 직장은 현재 확정기여형 퇴직연금을 거의 전직원이 선택해서 운용하고 있습니다.  하지만 저는 아직 선택하지 않은 상태입니다.  저는 확정급여형 (DB형)을 선택하고 싶은데 제가 DB형 선택을 직장에 요구할 권한이 있는 건가요?, 아니면 직장에서 하라는 대로 따라가는 것이 적법한 건가요?",복지연금국,"안녕하세요! 고객님!먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.사업장내에서 여러 퇴직금제도 설정은 가능합니다. 다만, 고객님께서 문의하신 내용은 고용노동부 소관업무로, 번거로우시겠지만 사업장 관할 고용노동청에 방문하여 문의하시거나 아래의 경로를 통해 다시금 고용노동부로 문의하셔서 안내받으시기 바랍니다.   -고용노동부 콜센터 및 홈페이지-◇ 전 화 : (고객상담센터) 국번 없이 1350  ◇ 인터넷 : 민원마당(minwon.moel.go.kr) > 민원신청 > 빠른인터넷상담   근로복지공단 퇴직연금관련하여 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1661-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다."
9,183003,공개,퇴직연금가입문의,2020-08-20,김**,복지연금국,처리완료,5인 미만 법인 사업장입니다. 퇴직연금 가입문의좀 드리려고 합니다.  인터넷으로 대충 조회해봤는데 dc형이 괜찮을 것 같아 진행하려고합니다.  문의드릴 부분은  1. 수수료부분은 은행사마다 수수료가 다른데 어떤 은행사로 가입이 되는 건가요??  2. 수수료는 월마다 내는 것일까요??  3. 현재 2~3년 된 직원들이 있는데 지금까지 쌓인 퇴직금은 어떻게 해야되는 것안가요 ?? (현재 소기업이라 원래 있던 직원들의 쌓인 퇴직금을 퇴직연금통장에 모두 넣고 시작해야한다고 하면 금전적으로 부담이 됩니다.)  4. 1/12에 해당하는 퇴직금을 연말에 한번에 납부해야하는 것인가요 달마다 분할로도 가능한가요?  5. 신규직원 채용예정인데 신규직원들은 퇴직연금을 퇴직금이 쌓이기 시작하는 1년 후부터 가입을 해야하나요 ?  이렇게 5가지 입니다. 감사합니다.,복지연금국,"안녕하세요! 고객님!근로복지공단 홈페이지를 이용해주셔서 감사합니다.문의하신 내용은 유선으로 안내해드렸으며, 고객님의 사업장 관할지사는 근로복지공단 전주지사로 연락처는 063-240-8118, 8119 입니다.오늘도 좋은하루 되시기 바랍니다. 감사합니다!"
